Date,Open,High,Low,Close
08/21/2025,98.25,98.68,98.18,98.62
08/20/2025,98.29,98.44,98.08,98.22
08/19/2025,98.15,98.32,97.94,98.27
08/18/2025,97.79,98.19,97.78,98.17
08/15/2025,98.18,98.21,97.73,97.85
08/14/2025,97.75,98.32,97.63,98.25
08/13/2025,98.04,98.13,97.63,97.84
08/12/2025,98.51,98.62,97.9,98.1
08/11/2025,98.24,99.32,98.03,98.52
08/08/2025,97.98,98.35,97.96,98.18
08/07/2025,98.19,98.47,97.95,98.4
08/06/2025,98.75,98.84,98.13,98.18
08/05/2025,98.62,99.07,98.59,98.78
08/04/2025,98.65,98.98,98.59,98.78
08/01/2025,100.01,100.26,98.61,99.14
07/31/2025,99.8,100.1,99.52,99.97
07/30/2025,98.92,99.98,98.7,99.82
07/29/2025,98.64,99.14,98.58,98.89
07/28/2025,97.58,98.69,97.49,98.63
07/25/2025,97.45,97.91,97.43,97.65
07/24/2025,97.18,97.55,97.11,97.38
07/23/2025,97.47,97.61,97.19,97.21
07/22/2025,97.87,97.99,97.31,97.39
07/21/2025,98.36,98.51,97.7,97.85
07/18/2025,98.49,98.58,98.1,98.48
07/17/2025,98.35,98.95,98.34,98.73
07/16/2025,98.58,98.91,97.71,98.39
07/15/2025,98.14,98.7,97.93,98.62
07/14/2025,97.96,98.14,97.77,98.08
07/11/2025,97.57,97.96,97.56,97.85
07/10/2025,97.44,97.92,97.27,97.65
07/09/2025,97.55,97.75,97.46,97.56
07/08/2025,97.36,97.84,97.18,97.52
07/07/2025,96.96,97.67,96.89,97.48
07/04/2025,97.09,97.11,96.86,97.18
07/03/2025,96.75,97.42,96.69,97.18
07/02/2025,96.64,97.15,96.62,96.78
07/01/2025,96.78,96.95,96.38,96.82
06/30/2025,97.19,97.32,96.77,96.88
06/27/2025,97.33,97.5,97.0,97.4
06/26/2025,97.55,97.61,97.0,97.15
06/25/2025,97.94,98.2,97.65,97.68
06/24/2025,98.16,98.28,97.71,97.86
06/23/2025,99.09,99.42,98.35,98.42
06/20/2025,98.67,98.89,98.54,98.71
06/19/2025,98.88,99.16,98.75,98.91
06/18/2025,98.87,99.01,98.48,98.91
06/17/2025,98.19,98.87,98.02,98.82
